Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR1059469,2/3/16,3/3/16,20988440,4239664880,20988440,202,2822,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059469,ERX1139620,MAGIC_84,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905571,SAMEA3598422,simple,4577,Zea mays,E-MTAB-3965:MAGIC_84,,,,,,,no,,,,,GATC biotech,ERA524061,,public,7603D03BD70306FA7B4C525DE7F22FE2,72B3DC7858A748E079823A22C6EE99A1
ERR1059470,2/3/16,3/3/16,20142301,4068744802,20142301,202,2702,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059470,ERX1139621,MAGIC_85,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905572,SAMEA3598423,simple,4577,Zea mays,E-MTAB-3965:MAGIC_85,,,,,,,no,,,,,GATC biotech,ERA524061,,public,4133270BDBF28C018017BD148746394C,94A22A6BB0C89F64686290E848BA2E83
ERR1059471,2/3/16,3/3/16,19705417,3980494234,19705417,202,2640,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059471,ERX1139622,MAGIC_86,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905573,SAMEA3598424,simple,4577,Zea mays,E-MTAB-3965:MAGIC_86,,,,,,,no,,,,,GATC biotech,ERA524061,,public,A767ACAB0B04BA2D45966364AEAE9A3C,ABFBBE08CBEC8F3EC26D0035DF30070F
ERR1059472,2/3/16,3/3/16,18371413,3711025426,18371413,202,2466,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059472,ERX1139623,MAGIC_87,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905574,SAMEA3598425,simple,4577,Zea mays,E-MTAB-3965:MAGIC_87,,,,,,,no,,,,,GATC biotech,ERA524061,,public,DF30F3153414C152B18163AFC2415096,5B86BD0AB58A09F7D5EB5D54A841FA0D
ERR1059473,2/3/16,3/3/16,15525946,3136241092,15525946,202,2084,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059473,ERX1139624,MAGIC_88,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905575,SAMEA3598426,simple,4577,Zea mays,E-MTAB-3965:MAGIC_88,,,,,,,no,,,,,GATC biotech,ERA524061,,public,683EC3998D18D335144EA5C5BB91F2D2,FA3509CFBEDC998653D1CCBA36AA077B
ERR1059474,2/3/16,3/3/16,18939353,3825749306,18939353,202,2542,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059474,ERX1139625,MAGIC_89,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905576,SAMEA3598427,simple,4577,Zea mays,E-MTAB-3965:MAGIC_89,,,,,,,no,,,,,GATC biotech,ERA524061,,public,624A2BFEBFBB2274EB34AC89B41BE0DB,AFE515E771224E689ADC468D911F7CC2
ERR1059475,2/3/16,3/3/16,13730813,2773624226,13730813,202,1792,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059475,ERX1139626,MAGIC_9,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905577,SAMEA3598428,simple,4577,Zea mays,E-MTAB-3965:MAGIC_9,,,,,,,no,,,,,GATC biotech,ERA524061,,public,9CBD644A83414034BC34A74B263F08F3,EFEA0F98323AB0E86B59D0EAC331D7E5
ERR1059476,2/3/16,3/3/16,21821910,4408025820,21821910,202,2842,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059476,ERX1139627,MAGIC_90,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905578,SAMEA3598429,simple,4577,Zea mays,E-MTAB-3965:MAGIC_90,,,,,,,no,,,,,GATC biotech,ERA524061,,public,6604824BAC65359BCFED64FD44B09D2C,CEDB5594531B301C6DD60090859E6FB8
ERR1059477,2/3/16,3/3/16,15873408,3206428416,15873408,202,2061,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059477,ERX1139628,MAGIC_91,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905579,SAMEA3598430,simple,4577,Zea mays,E-MTAB-3965:MAGIC_91,,,,,,,no,,,,,GATC biotech,ERA524061,,public,C6EA54F77A7E064FCBB49C39035AD824,1A873648ADA618C36DBC6373FDA9D60F
ERR1059478,2/3/16,3/3/16,18898290,3817454580,18898290,202,2454,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059478,ERX1139629,MAGIC_92,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905580,SAMEA3598431,simple,4577,Zea mays,E-MTAB-3965:MAGIC_92,,,,,,,no,,,,,GATC biotech,ERA524061,,public,13B46518C343DF5DBB1FFA67A9133E69,D1ED0A861E039DFE7932E9FC8AEEA638
ERR1059479,2/3/16,3/3/16,26731724,5399808248,26731724,202,3493,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059479,ERX1139630,MAGIC_93,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905581,SAMEA3598432,simple,4577,Zea mays,E-MTAB-3965:MAGIC_93,,,,,,,no,,,,,GATC biotech,ERA524061,,public,0C3DA2C2AB0D0FF6220057D259A35FFE,B45ADFA5CBB8D7B633F99BEBA15AEA62
ERR1059480,2/3/16,3/3/16,17067535,3447642070,17067535,202,2220,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059480,ERX1139631,MAGIC_94,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905582,SAMEA3598433,simple,4577,Zea mays,E-MTAB-3965:MAGIC_94,,,,,,,no,,,,,GATC biotech,ERA524061,,public,F3B7C1C92D293F7745F9F36B3AFCD97A,5904A05BA02FBBA4322B0C0BDCEB5618
ERR1059481,2/3/16,3/3/16,19590049,3957189898,19590049,202,2549,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059481,ERX1139632,MAGIC_95,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905583,SAMEA3598434,simple,4577,Zea mays,E-MTAB-3965:MAGIC_95,,,,,,,no,,,,,GATC biotech,ERA524061,,public,599CF187D4ABD539B51D6CB756178AEC,4DEE4A58EFACBE4A08471B1F2A079271
